PWM,surface,enc_per_ms_diff
0,table,0
0,table,0
0,table,0
0,table,0
0,table,0
0,table,0
0,table,0
0,table,0
0,table,0
0,table,0
4,table,0
4,table,0
4,table,0
4,table,0
4,table,0
4,table,0
4,table,0
4,table,0
4,table,0
4,table,0
8,table,0
8,table,0
8,table,0
8,table,0
8,table,0
8,table,0
8,table,0
8,table,0
8,table,0
8,table,0
12,table,0
12,table,0
12,table,0
12,table,0
12,table,0
12,table,0
12,table,0
12,table,0
12,table,0
12,table,0
16,table,0
16,table,0
16,table,-0.0909
16,table,-0.0909
16,table,-0.0909
16,table,-0.0909
16,table,-0.0909
16,table,0
16,table,-0.0909
16,table,-0.1818
20,table,0
20,table,-0.0909
20,table,-0.0909
20,table,-0.0909
20,table,-0.0909
20,table,-0.1818
20,table,0
20,table,0
20,table,-0.1818
20,table,0
24,table,0
24,table,0
24,table,-0.0909
24,table,-0.0909
24,table,0
24,table,0
24,table,-0.0909
24,table,0
24,table,-0.0909
24,table,0
28,table,0
28,table,0
28,table,-0.0909
28,table,0
28,table,0
28,table,0
28,table,-0.091
28,table,0
28,table,-0.091
28,table,0
32,table,0
32,table,-0.091
32,table,0
32,table,0
32,table,-0.0909
32,table,0.091
32,table,-0.0909
32,table,0.0909
32,table,-0.0833
32,table,0.0909
36,table,0
36,table,0
36,table,-0.0909
36,table,0
36,table,0
36,table,-0.0909
36,table,0
36,table,0
36,table,0
36,table,0.0909
40,table,-0.0909
40,table,0
40,table,0
40,table,0
40,table,0
40,table,0
40,table,-0.0909
40,table,0.0909
40,table,-0.0909
40,table,0.0909
44,table,0
44,table,0
44,table,0
44,table,0
44,table,-0.0909
44,table,0
44,table,0
44,table,0
44,table,0
44,table,0
48,table,-0.0909
48,table,0
48,table,0
48,table,0
48,table,-0.0909
48,table,0
48,table,-0.0909
48,table,0
48,table,0
48,table,0
52,table,0
52,table,-0.0909
52,table,0.0909
52,table,0
52,table,0
52,table,0
52,table,0
52,table,0
52,table,0
52,table,0
56,table,0.0909
56,table,-0.0909
56,table,0
56,table,0
56,table,0
56,table,-0.0909
56,table,-0.1667
56,table,0
56,table,-0.0909
56,table,-0.0909
60,table,-0.0909
60,table,-0.0909
60,table,-0.0909
60,table,-0.0909
60,table,0
60,table,0
60,table,-0.0909
60,table,-0.0909
60,table,0
60,table,0.0909
64,table,-0.0909
64,table,0
64,table,0
64,table,0
64,table,0
64,table,0
64,table,0
64,table,0
64,table,0
64,table,-0.0909
68,table,0.0909
68,table,0
68,table,-0.0909
68,table,0
68,table,0.0909
68,table,-0.0909
68,table,0
68,table,0
68,table,0
68,table,-0.0909
72,table,0.0909
72,table,-0.0909
72,table,0
72,table,0
72,table,-0.091
72,table,0.0909
72,table,-0.091
72,table,0
72,table,0
72,table,-0.0909
76,table,0.091
76,table,0
76,table,0
76,table,-0.0909
76,table,-0.0909
76,table,0.0909
76,table,0
76,table,0
76,table,-0.0909
76,table,0
80,table,0.0909
80,table,-0.091
80,table,0
80,table,-0.0909
80,table,0
80,table,0
80,table,0
80,table,0
80,table,-0.091
80,table,0.0909
84,table,-0.0909
84,table,0.0909
84,table,-0.0909
84,table,0
84,table,0
84,table,0
84,table,0
84,table,0
84,table,0
84,table,-0.0909
88,table,0
88,table,-0.0909
88,table,0
88,table,0
88,table,-0.0909
88,table,0.0909
88,table,-0.0909
88,table,-0.0909
88,table,0.0909
88,table,-0.0909
92,table,0
92,table,0
92,table,0
92,table,-0.0909
92,table,0
92,table,0
92,table,-0.0909
92,table,0
