PWM,wheel,surface,enc_per_ms
0,left,table,0
0,left,table,0
0,left,table,0
0,left,table,0
0,left,table,0
0,left,table,0
0,left,table,0
0,left,table,0
0,left,table,0
0,left,table,0
4,left,table,0
4,left,table,0
4,left,table,0
4,left,table,0
4,left,table,0
4,left,table,0
4,left,table,0
4,left,table,0
4,left,table,0
4,left,table,0
8,left,table,0
8,left,table,0
8,left,table,0
8,left,table,0
8,left,table,0
8,left,table,0
8,left,table,0
8,left,table,0
8,left,table,0
8,left,table,0
12,left,table,0
12,left,table,0
12,left,table,0
12,left,table,0
12,left,table,0
12,left,table,0
12,left,table,0
12,left,table,0
12,left,table,0
12,left,table,0
16,left,table,0
16,left,table,0
16,left,table,0
16,left,table,0
16,left,table,0.0909
16,left,table,0
16,left,table,0.0909
16,left,table,0.1818
16,left,table,0.0909
16,left,table,0.0909
20,left,table,0.1818
20,left,table,0.1818
20,left,table,0.1818
20,left,table,0.1818
20,left,table,0.1818
20,left,table,0.1818
20,left,table,0.2727
20,left,table,0.2727
20,left,table,0.1818
20,left,table,0.2727
24,left,table,0.3636
24,left,table,0.2727
24,left,table,0.2727
24,left,table,0.3636
24,left,table,0.3636
24,left,table,0.3636
24,left,table,0.3636
24,left,table,0.3636
24,left,table,0.3636
24,left,table,0.3636
28,left,table,0.4545
28,left,table,0.4545
28,left,table,0.3636
28,left,table,0.4545
28,left,table,0.4545
28,left,table,0.4545
28,left,table,0.4545
28,left,table,0.4545
28,left,table,0.4545
28,left,table,0.4545
32,left,table,0.5455
32,left,table,0.4545
32,left,table,0.5455
32,left,table,0.5455
32,left,table,0.5455
32,left,table,0.5455
32,left,table,0.5455
32,left,table,0.6364
32,left,table,0.5
32,left,table,0.6364
36,left,table,0.6364
36,left,table,0.6364
36,left,table,0.5455
36,left,table,0.6364
36,left,table,0.6364
36,left,table,0.6364
36,left,table,0.6364
36,left,table,0.6364
36,left,table,0.7273
36,left,table,0.7273
40,left,table,0.5455
40,left,table,0.7273
40,left,table,0.7273
40,left,table,0.7273
40,left,table,0.7273
